dateTime,Cycle_Alt
2017-07-20T06:21:49.375000Z,
2017-07-20T06:21:49.500000Z,
2017-07-20T06:21:49.625000Z,
2017-07-20T06:21:49.750000Z,
2017-07-20T06:21:49.875000Z,
2017-07-20T06:21:50.000000Z,593
2017-07-20T06:21:50.125000Z,
2017-07-20T06:21:50.250000Z,
2017-07-20T06:21:50.375000Z,
2017-07-20T06:21:50.500000Z,
2017-07-20T06:21:50.625000Z,
2017-07-20T06:21:50.750000Z,
2017-07-20T06:21:50.875000Z,
2017-07-20T06:21:51.000000Z,593
2017-07-20T06:21:51.125000Z,
2017-07-20T06:21:51.250000Z,
2017-07-20T06:21:51.375000Z,
2017-07-20T06:21:51.500000Z,
2017-07-20T06:21:51.625000Z,
2017-07-20T06:21:51.750000Z,
2017-07-20T06:21:51.875000Z,
2017-07-20T06:21:52.000000Z,593
2017-07-20T06:21:52.125000Z,
2017-07-20T06:21:52.250000Z,
2017-07-20T06:21:52.375000Z,
2017-07-20T06:21:52.500000Z,
2017-07-20T06:21:52.625000Z,
2017-07-20T06:21:52.750000Z,
2017-07-20T06:21:52.875000Z,
2017-07-20T06:21:53.000000Z,593
2017-07-20T06:21:53.125000Z,
2017-07-20T06:21:53.250000Z,
2017-07-20T06:21:53.375000Z,
2017-07-20T06:21:53.500000Z,
2017-07-20T06:21:53.625000Z,
2017-07-20T06:21:53.750000Z,
2017-07-20T06:21:53.875000Z,
2017-07-20T06:21:54.000000Z,593
2017-07-20T06:21:54.125000Z,
2017-07-20T06:21:54.250000Z,
2017-07-20T06:21:54.375000Z,
2017-07-20T06:21:54.500000Z,
2017-07-20T06:21:54.625000Z,
2017-07-20T06:21:54.750000Z,
2017-07-20T06:21:54.875000Z,
2017-07-20T06:21:55.000000Z,593
2017-07-20T06:21:55.125000Z,
2017-07-20T06:21:55.250000Z,
2017-07-20T06:21:55.375000Z,
2017-07-20T06:21:55.500000Z,
2017-07-20T06:21:55.625000Z,
2017-07-20T06:21:55.750000Z,
2017-07-20T06:21:55.875000Z,
2017-07-20T06:21:56.000000Z,593
2017-07-20T06:21:56.125000Z,
2017-07-20T06:21:56.250000Z,
2017-07-20T06:21:56.375000Z,
2017-07-20T06:21:56.500000Z,
2017-07-20T06:21:56.625000Z,
2017-07-20T06:21:56.750000Z,
2017-07-20T06:21:56.875000Z,
2017-07-20T06:21:57.000000Z,593
2017-07-20T06:21:57.125000Z,
2017-07-20T06:21:57.250000Z,
2017-07-20T06:21:57.375000Z,
2017-07-20T06:21:57.500000Z,
2017-07-20T06:21:57.625000Z,
2017-07-20T06:21:57.750000Z,
2017-07-20T06:21:57.875000Z,
2017-07-20T06:21:58.000000Z,593
2017-07-20T06:21:58.125000Z,
2017-07-20T06:21:58.250000Z,
2017-07-20T06:21:58.375000Z,
2017-07-20T06:21:58.500000Z,
2017-07-20T06:21:58.625000Z,
2017-07-20T06:21:58.750000Z,
2017-07-20T06:21:58.875000Z,
2017-07-20T06:21:59.000000Z,593
2017-07-20T06:21:59.125000Z,
2017-07-20T06:21:59.250000Z,
2017-07-20T06:21:59.375000Z,
2017-07-20T06:21:59.500000Z,
2017-07-20T06:21:59.625000Z,
2017-07-20T06:21:59.750000Z,
2017-07-20T06:21:59.875000Z,
2017-07-20T06:22:00.000000Z,593
2017-07-20T06:22:00.125000Z,
2017-07-20T06:22:00.250000Z,
2017-07-20T06:22:00.375000Z,
2017-07-20T06:22:00.500000Z,
2017-07-20T06:22:00.625000Z,
2017-07-20T06:22:00.750000Z,
2017-07-20T06:22:00.875000Z,
2017-07-20T06:22:01.000000Z,593
2017-07-20T06:22:01.125000Z,
2017-07-20T06:22:01.250000Z,
2017-07-20T06:22:01.375000Z,
2017-07-20T06:22:01.500000Z,
2017-07-20T06:22:01.625000Z,
2017-07-20T06:22:01.750000Z,
2017-07-20T06:22:01.875000Z,
2017-07-20T06:22:02.000000Z,593
2017-07-20T06:22:02.125000Z,
2017-07-20T06:22:02.250000Z,
2017-07-20T06:22:02.375000Z,
2017-07-20T06:22:02.500000Z,
2017-07-20T06:22:02.625000Z,
2017-07-20T06:22:02.750000Z,
2017-07-20T06:22:02.875000Z,
2017-07-20T06:22:03.000000Z,593
2017-07-20T06:22:03.125000Z,
2017-07-20T06:22:03.250000Z,
2017-07-20T06:22:03.375000Z,
2017-07-20T06:22:03.500000Z,
2017-07-20T06:22:03.625000Z,
2017-07-20T06:22:03.750000Z,
2017-07-20T06:22:03.875000Z,
2017-07-20T06:22:04.000000Z,593
2017-07-20T06:22:04.125000Z,
2017-07-20T06:22:04.250000Z,
2017-07-20T06:22:04.375000Z,
2017-07-20T06:22:04.500000Z,
2017-07-20T06:22:04.625000Z,
2017-07-20T06:22:04.750000Z,
2017-07-20T06:22:04.875000Z,
2017-07-20T06:22:05.000000Z,593
2017-07-20T06:22:05.125000Z,
2017-07-20T06:22:05.250000Z,
2017-07-20T06:22:05.375000Z,
2017-07-20T06:22:05.500000Z,
2017-07-20T06:22:05.625000Z,
2017-07-20T06:22:05.750000Z,
2017-07-20T06:22:05.875000Z,
2017-07-20T06:22:06.000000Z,593
2017-07-20T06:22:06.125000Z,
2017-07-20T06:22:06.250000Z,
2017-07-20T06:22:06.375000Z,
2017-07-20T06:22:06.500000Z,
2017-07-20T06:22:06.625000Z,
2017-07-20T06:22:06.750000Z,
2017-07-20T06:22:06.875000Z,
2017-07-20T06:22:07.000000Z,593
2017-07-20T06:22:07.125000Z,
2017-07-20T06:22:07.250000Z,
2017-07-20T06:22:07.375000Z,
2017-07-20T06:22:07.500000Z,
2017-07-20T06:22:07.625000Z,
2017-07-20T06:22:07.750000Z,
2017-07-20T06:22:07.875000Z,
2017-07-20T06:22:08.000000Z,593
2017-07-20T06:22:08.125000Z,
2017-07-20T06:22:08.250000Z,
2017-07-20T06:22:08.375000Z,
2017-07-20T06:22:08.500000Z,
2017-07-20T06:22:08.625000Z,
2017-07-20T06:22:08.750000Z,
2017-07-20T06:22:08.875000Z,
2017-07-20T06:22:09.000000Z,593
2017-07-20T06:22:09.125000Z,
2017-07-20T06:22:09.250000Z,
2017-07-20T06:22:09.375000Z,
2017-07-20T06:22:09.500000Z,
2017-07-20T06:22:09.625000Z,
2017-07-20T06:22:09.750000Z,
2017-07-20T06:22:09.875000Z,
2017-07-20T06:22:10.000000Z,593
2017-07-20T06:22:10.125000Z,
2017-07-20T06:22:10.250000Z,
2017-07-20T06:22:10.375000Z,
2017-07-20T06:22:10.500000Z,
2017-07-20T06:22:10.625000Z,
2017-07-20T06:22:10.750000Z,
2017-07-20T06:22:10.875000Z,
2017-07-20T06:22:11.000000Z,593
2017-07-20T06:22:11.125000Z,
2017-07-20T06:22:11.250000Z,
2017-07-20T06:22:11.375000Z,
2017-07-20T06:22:11.500000Z,
2017-07-20T06:22:11.625000Z,
2017-07-20T06:22:11.750000Z,
2017-07-20T06:22:11.875000Z,
2017-07-20T06:22:12.000000Z,593
2017-07-20T06:22:12.125000Z,
2017-07-20T06:22:12.250000Z,
2017-07-20T06:22:12.375000Z,
2017-07-20T06:22:12.500000Z,
2017-07-20T06:22:12.625000Z,
2017-07-20T06:22:12.750000Z,
2017-07-20T06:22:12.875000Z,
2017-07-20T06:22:13.000000Z,593
2017-07-20T06:22:13.125000Z,
2017-07-20T06:22:13.250000Z,
2017-07-20T06:22:13.375000Z,
2017-07-20T06:22:13.500000Z,
2017-07-20T06:22:13.625000Z,
2017-07-20T06:22:13.750000Z,
2017-07-20T06:22:13.875000Z,
2017-07-20T06:22:14.000000Z,593
2017-07-20T06:22:14.125000Z,
2017-07-20T06:22:14.250000Z,
2017-07-20T06:22:14.375000Z,
2017-07-20T06:22:14.500000Z,
2017-07-20T06:22:14.625000Z,
2017-07-20T06:22:14.750000Z,
2017-07-20T06:22:14.875000Z,
2017-07-20T06:22:15.000000Z,593
2017-07-20T06:22:15.125000Z,
2017-07-20T06:22:15.250000Z,
2017-07-20T06:22:15.375000Z,
2017-07-20T06:22:15.500000Z,
2017-07-20T06:22:15.625000Z,
2017-07-20T06:22:15.750000Z,
2017-07-20T06:22:15.875000Z,
2017-07-20T06:22:16.000000Z,593
2017-07-20T06:22:16.125000Z,
2017-07-20T06:22:16.250000Z,
2017-07-20T06:22:16.375000Z,
2017-07-20T06:22:16.500000Z,
2017-07-20T06:22:16.625000Z,
2017-07-20T06:22:16.750000Z,
2017-07-20T06:22:16.875000Z,
2017-07-20T06:22:17.000000Z,593
2017-07-20T06:22:17.125000Z,
2017-07-20T06:22:17.250000Z,
2017-07-20T06:22:17.375000Z,
2017-07-20T06:22:17.500000Z,
2017-07-20T06:22:17.625000Z,
2017-07-20T06:22:17.750000Z,
2017-07-20T06:22:17.875000Z,
2017-07-20T06:22:18.000000Z,593
2017-07-20T06:22:18.125000Z,
2017-07-20T06:22:18.250000Z,
